RECCO,HA_22ND,HA22_G,HNO_FR,REFER1,POWER,POWER_ADJ,R_Z1,R_GATE1_Z,R_GATE1_P,R_SKIP_G_LE2,R_DEL_STEP1_ROW,X_R,Z1,GATE1_Z,GATE1_P,DEL_STEP1,SKIP_G_LE2,X_R2,N_ROUND,MEDIAN_AA2,MAD_AA2,Z2,P80_AA2,GATE2_Z,GATE2_P,DEL_STEP2,SKIP_N_ROUND_LT3,X_C,N_ROUND_HR,MEDIAN_C,MAD_C,Z_C,P80_C,HR_GATE_Z,HR_GATE_P,HR_DEL,POOR_LOCAL,RANO_FR
10611,SIGHT SUPREME (J258),1,1,1,2.04,0.1053,-0.480263158,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
10643,SIGHT SUPREME (J258),1,1,1,10.92,8.9853,2.440789474,0,1,0,1,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
10750,SKY JOY (K026),1,1,1,-2.67,-3.419,-2.029605263,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
11142,SOLID WIN (J225),1,1,1,4.95,3.034,0.476973684,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
13219,MONARCH COUNTY (J421),1,1,1,-2.14,-3.9833,-1.855263158,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
13956,WITH A SMILE (K136),1,1,1,5.39,3.9387,0.621710526,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
13970,WITH A SMILE (K136),1,1,1,-3.56,-5.0113,-2.322368421,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
14036,ICONICAL (J504),1,1,1,1.3,-0.2733,-0.723684211,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
14112,MEEPMEEP (H234),1,1,1,-1.8,-2.8813,-1.743421053,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
14605,AMAZING AWARD (J236),1,1,1,2.91,0.9522,-0.194078947,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
14625,IVY LEAGUE (H116),1,1,1,-5.05,-6.9514,-2.8125,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
15441,CAPITAL LEGEND (G333),1,1,1,3.83,2.0252,0.108552632,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
16247,FIGHT TIME (H409),1,1,1,-1.98,-3.6953,-1.802631579,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
7804,HAROLD WIN (J280),1,1,1,-3.42,-5.2426,-2.276315789,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
7838,PRESTIGE ALWAYS (J300),1,1,1,3.04,1.3357,-0.151315789,0,0,0,0,1.3,-0.72,0,0,0,0,1.3,23,1.19,2.65,0.04,2.65,0,0,0,0,0.94,23,-0.73,2.22,0.76,1.54,0,0,0,0,25092104
10143,PRINCE ALEX (G307),1,1,2,3.49,2.3664,-0.431924883,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
10603,SIGHT SUPREME (J258),1,1,2,1.18,-0.7547,-1.516431925,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
10622,SIGHT SUPREME (J258),1,1,2,2.09,0.1553,-1.089201878,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
10637,SIGHT SUPREME (J258),1,1,2,8.44,6.5053,1.892018779,0,1,0,1,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
10787,JOYFUL PROSPERITY (H213),1,1,2,3.94,2.582,-0.220657277,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
11137,SOLID WIN (J225),1,1,2,2.47,0.554,-0.910798122,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
12001,SUNSTRIDER (J168),1,1,2,2.92,1.0947,-0.699530516,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
13487,CALIFORNIA STAR (J123),1,1,2,-1.68,-2.8763,-2.85915493,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
14080,SUNDAY'S SERENADE (J231),1,1,2,9.66,8.0137,2.464788732,0,1,0,1,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
14122,MEEPMEEP (H234),1,1,2,2.84,1.7587,-0.737089202,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
14613,AMAZING AWARD (J236),1,1,2,9.17,7.2122,2.234741784,0,1,0,1,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
15546,KINGLY DEMEANOR (H486),1,1,2,2.97,1.1191,-0.676056338,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
6905,VOLCANIC SPARK (H388),1,1,2,-0.81,-2.9391,-2.450704225,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
6931,FIRST LOVE (J355),1,1,2,4.8,2.8619,0.183098592,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
7336,DEVAS TWELVE (H435),1,1,2,5.85,4.1997,0.676056338,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
7484,FLOOF (H432),1,1,2,0.1,-1.0582,-2.023474178,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
7761,DEAL COMPLETED (J378),1,1,2,-1.62,-2.712,-2.830985915,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
8742,STURDY RUBY (H207),1,1,2,6.17,4.3854,0.82629108,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
9354,LUCKY TOUCH (J203),1,1,2,4.81,3.4755,0.187793427,0,0,0,0,2.97,-0.67,0,0,0,0,2.97,23,1.19,2.65,0.67,2.65,0,1,1,0,2.8,23,-0.73,2.22,1.59,1.54,0,1,1,1,25092104
10131,PRINCE ALEX (G307),1,1,3,-2.12,-3.2436,-2.105590062,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
10546,YEABOI (G372),1,1,3,-2.23,-3.8095,-2.173913043,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
10608,SIGHT SUPREME (J258),1,1,3,-2.47,-4.4047,-2.322981366,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
10625,SIGHT SUPREME (J258),1,1,3,-3.52,-5.4547,-2.97515528,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
10778,JOYFUL PROSPERITY (H213),1,1,3,2.4,1.042,0.701863354,0,1,0,1,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
11472,MASTEROFMYUNIVERSE (J325),1,1,3,-2.22,-4.2193,-2.167701863,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
11945,THE BOOM BOX (K076),1,1,3,-4.9,-6.5836,-3.832298137,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
11950,THE BOOM BOX (K076),1,1,3,-0.65,-2.3336,-1.192546584,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
12007,SUNSTRIDER (J168),1,1,3,1.38,-0.4453,0.068322981,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
13871,HARMONY GALAXY (J266),1,1,3,-5.68,-6.7703,-4.316770186,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
14110,MEEPMEEP (H234),1,1,3,-0.68,-1.7613,-1.211180124,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
14900,BLAZING WUKONG (K335),1,1,3,-6.93,-8.6479,-5.093167702,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
15350,PERFECTDAY (K238),1,1,3,-7.31,-8.8635,-5.329192547,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
15541,KINGLY DEMEANOR (H486),1,1,3,1.43,-0.4209,0.099378882,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
15689,WROTE A NEW PAGE (K226),1,1,3,-4.06,-5.9432,-3.310559006,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
15847,WONDERSTAR (J531),1,1,3,-7.43,-8.7118,-5.403726708,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
15876,PAKISTAN LEGACY (J363),1,1,3,-5.79,-6.987,-4.385093168,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
16066,CELESTIAL HERO (K363),1,1,3,-5.7,-6.685,-4.329192547,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
16067,CELESTIAL HERO (K363),1,1,3,-2.94,-3.925,-2.614906832,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
16165,BULB GENERAL (K218),1,1,3,-3.53,-5.49,-2.98136646,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
5585,ASIAN ONE (E400),1,1,3,3.87,2.3171,1.614906832,0,1,0,1,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
6465,PARTERRE (E234),1,1,3,-3.52,-5.403,-2.97515528,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
6900,VOLCANIC SPARK (H388),1,1,3,-2.35,-4.4791,-2.248447205,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
7158,NINJA DERBY (H339),1,1,3,-1.57,-3.0679,-1.763975155,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
7338,DEVAS TWELVE (H435),1,1,3,5,3.3497,2.316770186,0,1,0,1,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
7478,FLOOF (H432),1,1,3,-7.53,-8.6882,-5.465838509,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
7485,FLOOF (H432),1,1,3,-1.44,-2.5982,-1.683229814,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
8010,FOREVER FOLKS (G463),1,1,3,-1.95,-3.9516,-2,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
8732,STURDY RUBY (H207),1,1,3,0.56,-1.2246,-0.440993789,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
9184,SPANGLE FORTUNE (G427),1,1,3,-1.17,-3.1809,-1.51552795,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
9360,LUCKY TOUCH (J203),1,1,3,-0.8,-2.1345,-1.285714286,0,0,0,0,-2.23,-2.18,0,0,0,0,-2.23,23,1.19,2.65,-1.29,2.65,0,0,0,0,-2.6,23,-0.73,2.22,-0.84,1.54,0,0,0,0,25092104
10315,CAN'T GO WONG (H087),1,1,4,3.42,1.9981,-1.341317365,0,0,0,0,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
10528,MICKLEY (K082),1,1,4,5.73,3.7008,0.041916168,0,0,0,0,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
10631,SIGHT SUPREME (J258),1,1,4,-0.68,-2.6147,-3.796407186,0,0,0,0,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
10646,SIGHT SUPREME (J258),1,1,4,12.35,10.4153,4.005988024,1,1,0,1,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
10950,THE AZURE (J227),1,1,4,6.61,5.0307,0.568862275,0,1,0,1,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
11355,FIREFOOT (J183),1,1,4,6.08,5.4759,0.251497006,0,0,0,0,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
12764,STURDY RUBY (H207),1,1,4,3.96,2.1754,-1.017964072,0,0,0,0,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
14434,HARMONY GALAXY (J266),1,1,4,3.77,2.6797,-1.131736527,0,0,0,0,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
15529,KINGLY DEMEANOR (H486),1,1,4,5.34,3.4891,-0.191616766,0,0,0,0,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
16212,VIVA GRACIOUSNESS (J079),1,1,4,5.58,4.0812,-0.047904192,0,0,0,0,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
16533,HARMONY GALAXY (J266),1,1,4,10.36,9.2697,2.814371257,1,1,0,1,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
9667,LOVERO (H451),1,1,4,7,5.4672,0.80239521,0,1,0,1,5.66,0,0,0,0,0,5.66,23,1.19,2.65,1.69,2.65,0,1,1,0,2.76,23,-0.73,2.22,1.58,1.54,0,1,1,1,25092104
10135,PRINCE ALEX (G307),1,1,5,-2.81,-3.9336,-1.697802198,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
10318,CAN'T GO WONG (H087),1,1,5,-3.61,-5.0319,-2.137362637,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
10327,CAN'T GO WONG (H087),1,1,5,-5.96,-7.3819,-3.428571429,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
10543,YEABOI (G372),1,1,5,-0.68,-2.2595,-0.527472527,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
10614,SIGHT SUPREME (J258),1,1,5,-4.21,-6.1447,-2.467032967,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
10642,SIGHT SUPREME (J258),1,1,5,6.34,4.4053,3.32967033,1,1,0,1,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
10786,JOYFUL PROSPERITY (H213),1,1,5,1.34,-0.018,0.582417582,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
11138,SOLID WIN (J225),1,1,5,0.37,-1.546,0.049450549,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
11367,FIREFOOT (J183),1,1,5,-5.48,-6.0841,-3.164835165,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
12003,SUNSTRIDER (J168),1,1,5,0.32,-1.5053,0.021978022,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
12141,NORTHERN BEAST (H233),1,1,5,-2.85,-4.0708,-1.71978022,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
12716,SERANGOON (H296),1,1,5,0.01,-1.8223,-0.148351648,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
14038,ICONICAL (J504),1,1,5,-4.7,-6.2733,-2.736263736,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
14066,SUNDAY'S SERENADE (J231),1,1,5,-6.02,-7.6663,-3.461538462,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
14072,SUNDAY'S SERENADE (J231),1,1,5,1.79,0.1437,0.82967033,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
14438,HARMONY GALAXY (J266),1,1,5,-4.78,-5.8703,-2.78021978,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
14602,AMAZING AWARD (J236),1,1,5,-3.09,-5.0478,-1.851648352,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
14787,KINGLY DEMEANOR (H486),1,1,5,-2.28,-4.1309,-1.406593407,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
15362,SKY PROPHET (J095),1,1,5,0.13,-1.2156,-0.082417582,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
15438,CAPITAL LEGEND (G333),1,1,5,-2.17,-3.9748,-1.346153846,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
15538,KINGLY DEMEANOR (H486),1,1,5,0.37,-1.4809,0.049450549,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
8735,STURDY RUBY (H207),1,1,5,-0.13,-1.9146,-0.225274725,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
8812,D STAR (G374),1,1,5,-5.38,-5.7718,-3.10989011,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
8817,D STAR (G374),1,1,5,-2.35,-2.7418,-1.445054945,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
9185,SPANGLE FORTUNE (G427),1,1,5,0.38,-1.6309,0.054945055,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
9350,LUCKY TOUCH (J203),1,1,5,-1.49,-2.8245,-0.972527473,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
9367,LUCKY TOUCH (J203),1,1,5,-4.27,-5.6045,-2.5,0,0,0,0,-2.28,-1.41,0,0,0,0,-2.28,23,1.19,2.65,-1.31,2.65,0,0,0,0,-2.31,23,-0.73,2.22,-0.71,1.54,0,0,0,0,25092104
